OverallRating,SentimentScore,count
2.6,-0.2732,1
3.9,-0.6249,1
6.4,-0.2732,1
5.8,0.0,7
10.0,0.3818,1
8.9,-0.1027,2
9.2,0.4939,1
5.6,0.4019,1
5.3,-0.4019,1
8.9,0.4927,1
8.2,0.4019,1
2.6,0.4404,1
9.4,0.0,5
3.1,0.0,15
1.2,-0.2732,1
0.1,-0.5106,1
1.7,-0.4767,1
5.1,0.4215,1
8.9,0.0,6
9.3,0.4404,2
9.5,0.4404,1
7.1,0.5106,1
6.1,-0.4767,2
2.6,-0.5256,1
0.9,-0.2732,1
2.8,-0.5106,1
10.0,0.2732,1
1.9,-0.25,2
1.4,-0.5719,1
1.9,-0.4019,1
6.2,-0.3412,1
8.5,0.4404,1
9.7,0.6249,1
5.5,-0.5256,1
1.2,-0.5106,1
9.4,0.4588,1
4.3,-0.5423,1
4.3,0.2263,1
0.5,-0.6249,2
1.4,0.3612,2
5.1,-0.296,1
3.7,-0.25,1
9.3,0.5413,1
9.2,0.5719,1
0.9,-0.3818,1
8.4,0.5413,1
9.3,0.5859,1
2.8,-0.6369,1
1.4,-0.3612,1
8.4,0.4588,1
8.3,0.4404,1
9.0,0.4215,1
9.6,0.0,3
7.5,0.3089,2
0.2,-0.5859,1
2.6,0.0,15
4.1,-0.4404,1
9.2,0.4927,1
6.9,-0.296,1
7.1,0.0,11
1.5,-0.4939,2
4.8,-0.5256,1
8.3,0.5106,1
0.3,-0.3182,3
8.8,0.7184,2
5.0,0.2732,1
8.7,0.4927,2
2.4,-0.6249,1
2.1,0.4404,2
1.8,-0.6369,1
5.2,0.4939,1
0.5,-0.296,1
5.5,-0.25,1
2.8,-0.296,1
3.0,-0.6269,1
6.7,-0.1027,1
3.6,-0.6249,2
5.8,-0.2732,1
3.5,-0.3612,1
9.0,0.6249,1
4.6,0.25,1
8.2,0.5574,1
2.9,-0.4939,2
6.5,0.0,9
2.7,-0.4767,2
0.4,-0.6249,3
3.4,-0.3412,1
5.9,0.4019,1
9.5,0.4927,1
2.0,-0.6249,2
8.0,0.3612,1
0.2,-0.5256,1
10.0,0.4215,1
1.5,-0.4588,1
10.0,0.2023,1
1.8,-0.765,1
9.7,0.5106,1
0.5,-0.4019,2
4.0,-0.296,1
1.3,-0.3818,1
8.7,0.4404,3
9.1,0.6369,1
0.8,-0.3818,1
0.7,-0.25,1
4.3,0.4404,1
1.7,-0.6249,1
2.7,0.5106,1
8.5,0.5106,1
9.5,0.4767,1
10.0,0.5574,4
2.1,-0.25,1
4.9,-0.4939,1
6.2,-0.2732,1
3.4,0.3182,1
5.9,0.3612,1
3.8,-0.4767,1
7.2,0.6249,1
7.9,0.6124,1
9.4,0.7184,1
2.6,-0.3182,1
9.8,-0.2732,1
0.6,0.0,7
10.0,0.6369,5
9.4,0.3612,1
4.3,-0.4404,1
1.4,-0.4019,2
1.8,-0.296,1
6.3,-0.4939,2
7.9,0.4404,2
3.3,0.3818,1
5.8,0.4767,1
3.7,0.0,12
10.0,0.4754,1
4.7,-0.2263,1
3.8,0.3064,1
3.4,-0.6249,3
1.5,-0.3612,1
2.6,-0.4767,1
4.2,0.2263,1
3.9,-0.5256,1
3.8,0.296,1
3.1,-0.5413,1
5.1,0.3612,1
3.7,-0.4404,1
