OverallRating,ReviewHeader,TypeOfTraveller,SeatType,DateFlown,SeatComfort,CabinStaffService,GroundService,Aircraft,Food&Beverages,Departure,Destination
6.2,"""Economy class seating was truly dreadful""",Couple Leisure,Economy Class,Jun,1.0,4.0,3.0,Boeing 737,3.0,Heathrow,Kalamata
0.4,"""flight failed at every level""",Couple Leisure,Economy Class,Jun,4.0,4.0,1.0,Boeing 787-9,1.0,London,Funchal 
1.5,"""BA refuses to make it right""",Family Leisure,Economy Class,Jun,2.0,3.0,1.0,Boeing 787-9,3.0,Marseille,Heathrow
1.9,"""shame for such well known airline""",Solo Leisure,Business Class,Jun,1.0,3.0,1.0,A321 Neo,2.0,Cairo,London
1.2,"""Total garbage""",Solo Leisure,Economy Class,Jun,2.0,4.0,1.0,Boeing 767,3.0,Bucharest,London
2.7,"""arrived at the airport only 1 hour before""",Family Leisure,Economy Class,Jun,3.0,5.0,1.0,A320-200,4.0,Gatwick,Venice
0.1,"""uncomfy old planes""",Business,Business Class,Jun,1.0,1.0,1.0,Boeing 747,1.0,Tokyo,Heathrow
3.4,"""Most uncomfortable flight""",Family Leisure,Economy Class,May,1.0,2.0,4.0,Boeing 787,2.0,Santiago,London
1.5,"""I will never fly British Airways again""",Couple Leisure,Economy Class,Jun,4.0,4.0,1.0,Boeing 777-300,5.0,Seattle,London
3.2,"""All in all very disappointing""",Couple Leisure,Premium Economy,Mar,4.0,4.0,5.0,A320-200,1.0,Sydney,London Heathrow 
1.5,"""customer service was horrendous""",Business,Economy Class,May,2.0,4.0,2.0,Boeing 777,4.0,Seattle,Heathrow
1.3,"""All flights without exception were delayed""",Solo Leisure,Economy Class,Apr,4.0,5.0,5.0,Boeing 787-9,3.0,Athens,Heathrow
8.2,"""An excellent flight""",Solo Leisure,Business Class,May,5.0,5.0,4.0,A350,4.0,Vancouver,Heathrow
4.0,"""luggage was still in London"" ",Family Leisure,Economy Class,May,3.0,2.0,1.0,Boeing 787-8,2.0,Vancouver,London
1.4,"""worst experience in all my years of travel""",Family Leisure,Economy Class,Jun,1.0,1.0,1.0,Boeing 777-300,1.0,Boston,London
0.5,"""The worst experience""",Couple Leisure,Economy Class,May,1.0,1.0,1.0,Boeing 777,1.0,London,Santorini
2.4,"""haven't received any reimbursement""",Family Leisure,Economy Class,Feb,3.0,1.0,1.0,A320-200,1.0,Heathrow,Mumbai
0.0,"""the worst airline experience I've ever had to deal with""",Solo Leisure,Economy Class,May,1.0,1.0,1.0,Boeing 777-200ER,1.0,Las Vegas,Venice
9.7,"""Service was good""",Family Leisure,Premium Economy,May,4.0,4.0,4.0,Boeing 777-300,3.0,London,New York
0.5,"""cancel your flight without notice""",Couple Leisure,Premium Economy,May,1.0,1.0,1.0,Boeing 747,1.0,Dallas,London
9.7,"""Cheap, quick and efficient""",Solo Leisure,Economy Class,May,5.0,5.0,5.0,A320,5.0,London,Glasgow
2.0,"""the worst major European airline"" ",Business,Business Class,May,2.0,2.0,1.0,A320 Finnair,3.0,Heathrow,Malaga 
5.0,"""do not think the fare was worth the money""",Couple Leisure,Business Class,May,2.0,3.0,4.0,A319,3.0,London,Nice
1.7,"""BA is on the skids downhill""",Solo Leisure,Business Class,Sep,3.0,1.0,2.0,A321 Neo,1.0,London,San Francisco
0.7,"""Absolutely terrible experience""",Solo Leisure,Economy Class,Apr,1.0,1.0,1.0,Boeing 777,3.0,London,Dallas
1.1,"""poor service and unhappy customers""",Business,Economy Class,May,4.0,3.0,1.0,A320-200,1.0,London,Madrid
1.2,"""just won't use them again""",Solo Leisure,Economy Class,May,1.0,3.0,1.0,Boeing 787-8,3.0,London,Belfast
2.7,"""Another bad show""",Couple Leisure,Business Class,May,5.0,5.0,1.0,A380,4.0,Los Angeles,London
2.2,"""what an earth is going on at BA""",Couple Leisure,Business Class,Apr,4.0,3.0,1.0,A380,1.0,Atlanta,London
0.9,"""most appalling airline service""",Solo Leisure,Business Class,May,1.0,1.0,1.0,Boeing 787-9,1.0,Sydney,Singapore
0.9,"""Customer service is shocking""",Solo Leisure,Business Class,May,1.0,1.0,1.0,A380,1.0,Heathrow,Faro
2.2,"""a lot of actual lies being told""",Business,Economy Class,Apr,4.0,3.0,1.0,Boeing 787-8,3.0,New York,London
4.7,"""premium price for very average service""",Couple Leisure,Business Class,Apr,4.0,2.0,3.0,Boeing 787,1.0,Singapore,London
0.2,"""lack of customer service""",Couple Leisure,Economy Class,Jan,3.0,3.0,3.0,Boeing 767,3.0,Sweden,London
2.8,"""Overall not a good airline""",Couple Leisure,Premium Economy,Apr,3.0,2.0,3.0,Boeing 777,1.0,Seattle,London
0.7,"""delayed and missed connecting flight""",Family Leisure,Premium Economy,Apr,2.0,1.0,1.0,Boeing 777,2.0,Bangalore,London
0.1,"""!not a good experience""",Family Leisure,Economy Class,Feb,2.0,1.0,1.0,Dreamliner,1.0,London,Denver
10.0,""" A very pleasant experience""",Solo Leisure,Premium Economy,Apr,4.0,5.0,4.0,A350,4.0,London,Hong Kong
1.3,"""It was a nightmare""",Couple Leisure,Economy Class,Apr,1.0,4.0,1.0,Boeing 747,1.0,Brussels,Heathrow
4.9,"""Abysmal service""",Couple Leisure,Economy Class,Apr,1.0,4.0,2.0,Boeing 777-200ER,2.0,Copenhagen,London
0.7,"""trained to give you the runaround""",Family Leisure,Economy Class,Mar,2.0,5.0,4.0,A380-800,2.0,London,Denver
2.6,"""they only had one choice of meal""",Solo Leisure,Economy Class,Apr,2.0,1.0,2.0,A319,1.0,Hong Kong,London
3.4,"""relentless BA cost cutting""",Business,Business Class,Apr,3.0,3.0,3.0,A320,4.0,Heathrow,Malaga
0.0,"""Absolutely horrible experience""",Solo Leisure,Economy Class,Jan,3.0,3.0,1.0,A321 Neo,2.0,Madrid,London
0.0,"""This is the worst airline""",Business,Economy Class,Apr,1.0,1.0,1.0,Boeing 787-8,1.0,Dublin,London
2.8,"""never fly British Airways again""",Couple Leisure,Business Class,Mar,1.0,2.0,2.0,Boeing 777-200,2.0,London,Venice
1.3,"""seats were cramped and uncomfortable""",Couple Leisure,Economy Class,Apr,1.0,1.0,4.0,A350,1.0,Las Vegas,London
9.5,"""I enjoyed my flight""",Solo Leisure,Business Class,Apr,5.0,5.0,3.0,A320,5.0,Faro,Heathrow
4.3,"""found the food menu rather odd""",Couple Leisure,Business Class,Apr,4.0,3.0,2.0,Boeing 777,2.0,London,Atlanta
1.4,"""cover 50% of my new luggage""",Couple Leisure,Economy Class,Apr,1.0,4.0,1.0,A319,1.0,London,Copenhagen
1.4,"""the worst flight of my life""",Couple Leisure,Economy Class,Apr,3.0,1.0,1.0,Boeing 777-200,2.0,London,Malta
6.9,"""flight was pleasant enough""",Couple Leisure,Economy Class,Apr,4.0,4.0,4.0,A319,3.0,Belfast,London
3.0,"""downright rude and abusive""",Business,Premium Economy,Apr,2.0,2.0,4.0,Boeing 787,3.0,London,Hong Kong
1.8,"""disappointing staff""",Family Leisure,Economy Class,Apr,4.0,1.0,1.0,A320,5.0,Mumbai,London
2.5,"""crew could not give a damn""",Business,Business Class,Apr,3.0,2.0,3.0,Boeing 777,2.0,London,New York
9.1,"""a very solid experience""",Solo Leisure,Economy Class,Mar,4.0,5.0,4.0,Boeing 777-200,3.0,Mumbai,London
10.0,"""Service was impeccable"" ",Couple Leisure,Business Class,Mar,4.0,5.0,4.0,Boeing 787,5.0,Mexico City,London
1.3,"""Very poor service, very frustrating""",Business,Economy Class,Mar,3.0,3.0,3.0,Boeing 787,3.0,Barcelona,London
0.9,"""changed our prepaid seats""",Couple Leisure,Economy Class,Mar,1.0,1.0,1.0,A321 Neo,1.0,Marrakech,Heathrow
1.6,"""airline is going downhill rapidly""",Couple Leisure,Economy Class,Mar,1.0,3.0,1.0,A350,1.0,Heathrow,Marrakech
1.7,"""Every flight was delayed""",Couple Leisure,Economy Class,Mar,3.0,1.0,1.0,Boeing 747,3.0,Miami,London
3.2,"""how far the quality level has slid""",Business,Economy Class,Mar,1.0,1.0,2.0,A380-800,1.0,New York,London
1.8,"""worst cabin experience ever""",Couple Leisure,Economy Class,Mar,1.0,4.0,4.0,A321 Neo,1.0,Cairo,London
7.0,"""Very impressive and efficient""",Solo Leisure,Premium Economy,Mar,4.0,4.0,3.0,Boeing 777,2.0,Mumbai,London
2.6,"""We are done with BA""",Couple Leisure,First Class,Mar,4.0,5.0,1.0,A380,4.0,Johannesburg,London
0.3,"""A catalogue of failures""",Couple Leisure,Economy Class,Mar,3.0,3.0,1.0,Boeing 777-200,3.0,Heathrow,Belfast
6.3,"""it's by no measure good""",Couple Leisure,Economy Class,Mar,1.0,3.0,5.0,A320,2.0,Gatwick,Dubrovnik
1.2,"""Avoid unless you have no other option""",Business,Economy Class,Mar,2.0,1.0,1.0,Boeing 747-400,1.0,Heathrow,Amsterdam
1.6,"""pathetically inefficient""",Solo Leisure,Economy Class,Mar,3.0,2.0,1.0,A320,1.0,Zagreb,Heathrow
2.5,"""fallen far behind their competitors""",Couple Leisure,Premium Economy,Mar,1.0,2.0,3.0,A321 Neo,2.0,New York,Heathrow
0.7,"""one of the worst experiences""",Solo Leisure,Economy Class,Dec,1.0,1.0,1.0,Boeing 767,1.0,Dublin,Heathrow
0.2,"""a horror show of incompetence""",Family Leisure,Economy Class,Mar,1.0,1.0,1.0,A380-800,1.0,Heathrow,Munich
1.0,"""My baggage never arrived""",Business,Business Class,Dec,4.0,4.0,1.0,Boeing 777-200ER,4.0,London,Dubai
1.5,"""Total disruption, wasted time""",Solo Leisure,Economy Class,Mar,2.0,3.0,1.0,A320,3.0,Geneva,London
0.8,"""I detest British Airways""",Business,Economy Class,Mar,1.0,1.0,1.0,A320,1.0,Heathrow,Glasgow
8.6,"""Clean aircraft, good crew, professional""",Business,Economy Class,Mar,5.0,5.0,5.0,A321,2.0,Heathrow,Arlanda Stockholm
1.6,"""had better treatment from Ryanair""",Solo Leisure,Economy Class,Mar,1.0,2.0,3.0,Boeing 787,1.0,London,Los Angeles
10.0,"""Would happily fly them again""",Solo Leisure,Economy Class,Mar,5.0,5.0,5.0,Boeing 777,5.0,New York,London
3.4,"""one drink service on 10 hour flight""",Couple Leisure,Premium Economy,Mar,3.0,2.0,2.0,A350,1.0,Heathrow,Las Vegas
0.2,"""squashed into regular seats""",Business,Business Class,Jan,1.0,2.0,3.0,A321 Neo,1.0,London,Cairo
7.9,"""nice and professional crew""",Solo Leisure,Economy Class,Feb,3.0,5.0,5.0,Boeing 787,5.0,London,Singapore 
5.6,"""acceptable experience, nothing more""",Business,Business Class,Feb,2.0,3.0,4.0,A380,2.0,London,Dubai
6.8,"""FA's were very friendly""",Business,Business Class,Feb,2.0,4.0,4.0,A320,4.0,Brussels,London
1.2,"""original flight was cancelled""",Family Leisure,Economy Class,Feb,1.0,4.0,1.0,Boeing 777,1.0,Lyon,London
0.8,"""no better than a low cost airline""",Family Leisure,Economy Class,Feb,1.0,4.0,1.0,Boeing 777-200ER,1.0,London,Lyon
4.6,"""they could not serve hot drinks""",Couple Leisure,Economy Class,Feb,2.0,2.0,5.0,A320,1.0,Faro,Gatwick 
4.3,"""got virtually free tickets""",Family Leisure,Economy Class,Feb,3.0,3.0,2.0,A320,1.0,Oslo,London
1.3,"""found the attitude appalling"" ",Solo Leisure,Economy Class,Feb,2.0,1.0,1.0,A320,1.0,London,Madrid
7.5,"""crew were really nice""",Couple Leisure,Economy Class,Feb,4.0,5.0,4.0,Boeing 767,2.0,Islamabad,London
9.6,"""Overall, very happy with BA""",Couple Leisure,Business Class,Feb,5.0,5.0,5.0,Boeing 787-9,4.0,Mexico City,London
10.0,"""the best airline I've flown with""",Solo Leisure,Economy Class,Jan,5.0,5.0,5.0,A320,5.0,Palma,Gatwick
10.0,"""so determined to help""",Family Leisure,Economy Class,Feb,5.0,5.0,5.0,A319,5.0,London,Madrid
10.0,"""crew are a credit to BA""",Business,Economy Class,Jan,5.0,5.0,5.0,A320,4.0,Heathrow,Glasgow
1.4,"""catalogue of errors and inconveniences""",Couple Leisure,Premium Economy,Jan,3.0,1.0,4.0,Boeing 787-9,1.0,London,Buenos Aires
3.1,"""the food was poor""",Solo Leisure,Premium Economy,Jan,4.0,4.0,4.0,Boeing 777-300,1.0,London,Vancouver
8.7,"""Excellent service""",Solo Leisure,First Class,Jan,4.0,5.0,5.0,A380,4.0,Heathrow,Johannesburg
8.4,"""Sound dinner service""",Couple Leisure,Business Class,Jan,4.0,5.0,4.0,Boeing 777-200,5.0,Cape Town,London
9.1,"""A really excellent journey""",Couple Leisure,Business Class,Jan,5.0,5.0,5.0,Boeing 777-300 ER,5.0,London,Male
1.9,"""flight was one of the worst""",Solo Leisure,Business Class,Dec,3.0,2.0,1.0,A380,1.0,London,Vienna
3.9,"""there is a race to the bottom""",Couple Leisure,Economy Class,Jan,2.0,2.0,1.0,Boeing 777-300 ER,2.0,Johannesburg,London
8.4,"""very friendly cabin crew""",Family Leisure,Economy Class,Dec,4.0,5.0,4.0,Boeing 787-8,4.0,London,Tel Aviv
8.0,"""a good drinks and food service""",Couple Leisure,Business Class,Jan,3.0,5.0,4.0,Boeing 777-200,5.0,Heathrow,Cape Town
2.9,"""I find BA incredibly tacky""",Solo Leisure,Premium Economy,Apr,3.0,4.0,3.0,A320-200,1.0,Heathrow,Athens Greece 
3.5,"""This flight was so disappointing""",Family Leisure,Economy Class,Jan,1.0,1.0,1.0,Boeing 777-200,1.0,Atlanta,London
5.6,"""just an average airline""",Family Leisure,Economy Class,Dec,3.0,2.0,3.0,A380,3.0,London,Chicago
0.3,"""Luggage is delayed"" ",Family Leisure,Economy Class,Jan,1.0,5.0,1.0,Boeing 787-8,1.0,Istanbul,Heathrow
0.6,"""the worst business class experience I've ever had""",Family Leisure,Business Class,Jan,1.0,2.0,1.0,A320,1.0,Vienna,Heathrow
1.7,"""not recommended for business class""",Business,Business Class,Jan,2.0,5.0,2.0,Boeing 787-9,2.0,London,San francisco
8.2,"""surprisingly a good product""",Business,Economy Class,Jan,4.0,5.0,5.0,A321,3.0,London,Belfast
5.9,"""Maybe the old charm will return soon""",Business,Economy Class,Dec,5.0,3.0,5.0,A380,1.0,Doha,London
3.7,"""having to pay to reserve a specific seat""",Couple Leisure,Business Class,Dec,3.0,4.0,4.0,Boeing 777,4.0,London,Barbados
4.4,"""Upgrade was worth it""",Solo Leisure,Premium Economy,Dec,3.0,4.0,2.0,Boeing 777,4.0,Gatwick,Cape Town
3.9,"""Disappointing meal""",Solo Leisure,Business Class,Dec,4.0,3.0,1.0,A350,2.0,Cape Town,London
8.9,"""Flight perfectly on time""",Couple Leisure,Economy Class,Dec,3.0,3.0,4.0,A320,2.0,Marseille,London
2.4,"""treat your customers like idiots""",Couple Leisure,First Class,Dec,2.0,2.0,3.0,Boeing 777-300,1.0,London,Male
0.7,"""have to use other airlines now""",Business,Business Class,Oct,3.0,4.0,1.0,Boeing 767,3.0,Heathrow,Frankfurt
2.3,"""my suitcase didn't arrive with me""",Solo Leisure,Economy Class,Dec,2.0,2.0,1.0,Boeing 767,2.0,Heathrow,Doha
2.2,"""Cabin crew - Treated passengers as an inconvenience""",Couple Leisure,Premium Economy,Nov,4.0,1.0,1.0,Boeing 777-300,1.0,Gatwick,Cancun
5.7,"""luggage was finally delivered on Thursday""",Solo Leisure,Premium Economy,Dec,3.0,5.0,1.0,Boeing 787-9,4.0,London,Phoenix
6.2,"""improvements needed with their ground staff2",Business,Business Class,Dec,4.0,4.0,1.0,A321,5.0,London,Rome
1.1,"""appallingly uncomfortable flights""",Couple Leisure,Business Class,Dec,1.0,1.0,1.0,Boeing 777,1.0,Barbados,Heathrow
8.1,"""Cabin crew very good""",Solo Leisure,Economy Class,Nov,2.0,5.0,3.0,Boeing 777-200,4.0,Doha, Gatwick
2.9,"""late and delayed""",Business,Business Class,Dec,5.0,5.0,5.0,A320,3.0,Glasgow,London
